username,created_at,lng,lat,text,,,,
SriramKaushik1, Tue Jan 26 21:47:59 +0000 2021,78.385285,17.395038, For you it was your dream and you conquered it. For me it's gonna be once in a lifetime opportunity if I will be sh… https://t.co/VrQSbdrsTl ,,,,
SaaidiFadi, Tue Jan 26 21:50:48 +0000 2021,-5.300415,35.620793, I’m 16 years old and i live in Morocco I know the value of @Tesla and i’m a big fan of @elonmusk he is even my rol… https://t.co/kmf769Ff4x ,,,,
s_falcus, Tue Jan 26 21:51:37 +0000 2021,-1.724596,54.988777, @Anas_Batain @TretchROOTS @carwowuk You said companies were catching up to Tesla ,,,,
JLarey83, Tue Jan 26 21:51:46 +0000 2021,-82.506284,28.017012, #impeachpelosi For insider knowledge of Tesla stocks. ,,,,
B_Mil3549, Tue Jan 26 21:52:38 +0000 2021,-73.985336,41.366528, @elonmusk.... Do I smell a Day 20?! Yes sir I do! Day 20 of asking for a Tesla as a graduation present ,,,,
faabio, Tue Jan 26 21:53:23 +0000 2021,-46.595546,-23.682803, E mais 9% hoje, 190.00 😱 (@RenataTanaka19 favor me dar um Tesla vermelho de presente) ,,,
ant_dawg95, Tue Jan 26 21:53:32 +0000 2021,-104.922093,39.713563, Tesla and Apple gonna do numbers Thursday morning watch ,,,,
brunobaloo, Tue Jan 26 21:57:40 +0000 2021,-76.797222,39.421988, @elonmusk pls tweet about $AMC and $BB. I promise you I’ll but a Tesla if you do. ,,,,
austintylerro, Tue Jan 26 21:59:21 +0000 2021,-73.968542,40.780709, Sure you do real person 588996531356899 who joined in &lt;squints&gt; December 2020 ,,,,
AndyHeyrov, Tue Jan 26 22:01:16 +0000 2021,14.465875,50.05958, I bet @elonmusk waited for the Tesla report for the $7 billion to bought for himself #GME and then tweet about it..… https://t.co/UiYVVxhabH ,,,,
robert_burke, Tue Jan 26 22:01:16 +0000 2021,-2.23348,53.456952," From the man that brought you ""I was on Tesla early and pulled out"" comes my next great L#GameStop https://t.co/2zPPTv1akL ",,,,
PortaJorgeL, Tue Jan 26 22:01:35 +0000 2021,-64.874447,-24.237339, @edgarentuiter Tremendo, superando los rendimientos de tesla incluso. ,,,
travis06259178, Tue Jan 26 22:01:36 +0000 2021,-86.936483,40.384717, @Mostly_Fiery Funny I literally saw news of a Tesla investment by pelosi. Then shortly after biden say he wants to… https://t.co/gHeHKjGCLt ,,,,
MN_CPA21, Tue Jan 26 22:03:43 +0000 2021,-93.262046,44.97061, @elonmusk can we get a fresh batch of short 🩳s and @Tesla tequila please? ,,,,
OmerFrkYlmaz, Tue Jan 26 22:07:28 +0000 2021,36.552709,40.320624, İnce uçlu Tesla var mı ? Arabamı şarj edecem 😎 ,,,,
RGENTOLR, Tue Jan 26 22:08:13 +0000 2021,-66.859335,-29.424004," @elonmusk @Tesla @solarcity  Maybe """" the tiles would be better if they were bigger", much bigger for easier and fas… https://t.co/ry5C7CR6kF ,,,
sergio2smoove, Tue Jan 26 22:09:09 +0000 2021,-90.581249,38.651687, If we unveil the reverse Model S and X tomorrow, that stock is gonna do a fuckin backflip. ,,,
6ixgod_, Tue Jan 26 22:12:36 +0000 2021,-118.304663,33.945234, Go long on Tesla everyone ,,,,
